ID,Component,Mfr / Part #,Subsystem,Qty,Unit,Status,QD v1 Use,Key Specs / Notes,Supplier,Source / Order,Photo,Allocation / Reuse
17,"Heat-shrink tubing kit, 2:1, 1-8mm, 580pc",Ginsco,Wiring,1,kit,In hand (photo),Core (consumable),"-55 to +125C. Non-adhesive. Needs a HEAT GUN, not a lighter — confirm one is owned (tool note).",Amazon,Batch photo (X004BR2OM1),Thread (doc shot),Committed: QD v1
18,"M2.5 brass standoff/screw/nut kit, 100pc",Geekworm,Compute / Mounting,2,kit (tentative),In hand (photo),Core,COUNT TENTATIVE (1 open + 1 sealed). M2.5 = Pi standard (chassis is M3 — two fastener systems). Mount method undecided — see Flag F7.,Amazon (geekworm),Batch photo (X001K0GBSF),Thread (doc shot),Committed: QD v1
19,STEMMA QT JST-SH 4-pin to male header cable,Adafruit 4209,Wiring / Sensor,4,cable,In hand (records/slip),Core,Breaks STEMMA QT I2C out to header pins (e.g. to Pi).,DigiKey,DK SO 97540383 (24 Feb 2026),Mfr ref,Committed: QD v1
20,"STEMMA QT / Qwiic JST-SH 4-pin cable, 150mm",Adafruit 4397,Wiring / Sensor,4,cable,In hand (records/slip),Core,Plug-and-play I2C chaining. JST-SH (1.0mm) — small; NOT ideal for flex joint vs JST-XH. See Flag F6.,DigiKey,DK SO 97540383,Mfr ref,Committed: QD v1
21,"PMSA003I Air-Quality (PM2.5) sensor, STEMMA QT",Adafruit 4632,Sensing,1,unit,In hand (records/slip),Later (v1.5+),I2C particulate sensor — new environmental modality. Scope question vs locked v1 — see Flag F8.,DigiKey,DK SO 97540383,Mfr ref,QD v1.5+ / reusable
22,"PCA9548 8-channel I2C multiplexer, STEMMA QT",Adafruit 5626,Sensing / Infra,2,board,In hand (records/slip),Core (infrastructure),Resolves ToF 0x29 address collision. One in ridge can collapse body-to-ridge run to 4-wire I2C. See Flag F6.,DigiKey,DK SO 97540383,Mfr ref,Committed: QD v1
23,"Magnetic reed contact switch, SPST-NO w/ leads",Adafruit 375,Sensing,4,unit,In hand (records/slip),Later / TBD,"Reed + magnet (NOT vibration sensor). Possible use: swappable front-module presence/keying, or hatch sense. Confirm intent.",DigiKey,DK SO 97540383,Mfr ref,QD v1.5+ / reusable
24,BNO085 9-DOF Orientation IMU (fusion),Adafruit 4754,Sensing,2,board,In hand (records/slip),Core (x1) + 2nd TBD,Proprioception — addresses tip-over (F2). Known Pi I2C clock-stretch issue: use UART-RVC/SPI — see Flag F10. 2nd unit: body+ridge or spare? (open Q).,DigiKey,DK SO 97540383,Mfr ref,Committed: QD v1
25,SPH0645LM4H I2S MEMS microphone,Adafruit 3421,Sensing,2,board,In hand (records/slip),Later (v1.5+),AUDIO via I2S (not I2C) — separate Pi bus/GPIO. Two = stereo. PCM peripheral conflicts w/ WS2812 LED — see Flag F9.,DigiKey,DK SO 97540383,Mfr ref,QD v1.5+ / reusable
26,Adafruit KB2040 (RP2040) co-processor,Adafruit 5302,Compute,1,board,In hand (invoice),Core? (decision),"RP2040 MCU (free w/ order). Candidate real-time co-pro: Layer-1 reflex (deterministic), PIO quadrature for encoders, PIO WS2812 (sidesteps F9), I2S. Architecture decision -> Flag F11.",Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
27,BSS138 4-ch I2C-safe logic level converter,Adafruit 757,Wiring / Infra,1,board,In hand (invoice),Core,RESOLVES F1. 4 ch = 2 encoders x A/B. Encoder Vcc 5V -> BSS138 -> 3.3V Pi.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
28,ADS1115 16-bit 4-ch ADC (PGA),Adafruit 1085,Sensing / Infra,2,board,In hand (invoice),Core (1),Adds analog input to Pi (Pi has none). Enables F3: read pack V via divider for runtime low-voltage cutoff. Addr 0x48-0x4B strappable (2 coexist).,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
29,BME688 temp/humidity/pressure/gas sensor,Adafruit 5046,Sensing,1,board,In hand (invoice),Later (v1.5+),Environmental: gas/VOC + T/H/P. Complements PMSA003I (particulate). I2C STEMMA QT. Scope -> F8.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,QD v1.5+ / reusable
30,DRV5032 digital Hall-effect sensor,Adafruit/ScoutMakes 6051,Sensing,2,board,In hand (invoice),Later / TBD,Magnet-presence switch. Overlaps reed (375). Likely front-module presence/keying. Confirm intent (Q4).,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,QD v1.5+ / reusable
31,"IR Break-Beam Sensor, 5mm LEDs",Adafruit 2168,Sensing,2,pair,In hand (invoice),Later (v1.5+),Emitter+detector beam-break (digital). Possible edge/tripwire/object-pass sense. Uses 3-pin JST-PH cable (3893).,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,QD v1.5+ / reusable
32,"DS3231 Precision RTC, STEMMA QT",Adafruit 5188,Sensing,2,board,In hand (invoice),Core (1); 2nd spare,Real clock for timestamping significance/decay. FIXED addr 0x68 -> TWO CANNOT SHARE A BUS (collide). See F12.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
33,Qwiic / STEMMA QT 5-Port Hub,Adafruit 5625,Sensing / Infra,1,board,In hand (invoice),Core,"Passive I2C fan-out (1->5). For UNIQUE-address devices. Use mux (not hub) for address-colliders (ToF, 2nd RTC).",Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
34,Perma-Proto half-sized breadboard PCB,Adafruit 1609,Wiring / Proto,6,board,In hand (invoice),Core,"Solderable proto substrate for the internal electronics stack (level shifter, ADC, hub mounting).",Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
35,"6mm 3MP Wide-Angle Lens, CS-mount",Adafruit 4563,Sensing / Camera,1,unit,In hand (invoice),Core,Wide lens for the Global Shutter Camera (CS mount). This is the 'wide-angle' from records.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
36,"Flex cable for Pi Camera, 24in / 610mm",Adafruit 1731,Sensing / Camera,1,cable,In hand (invoice),Core,Confirms the 24in camera flex from records. Fragile. Routes Pi CSI -> ridge camera.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
37,"STEMMA QT JST-SH 4-pin cables, assorted",Adafruit 5385/5384/4401/4210,Wiring,20,cable,In hand (invoice),Core,"This order: 400mm x4, 300mm x4, 200mm x4, 100mm x8. I2C chaining stock.",Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,Committed: QD v1
38,STEMMA JST-PH 2mm 3-pin to male header cable,Adafruit 3893,Wiring,2,cable,In hand (invoice),Later,3-pin (not 4) - pairs with the IR break-beam sensors.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,QD v1.5+ / reusable
39,"PCB Coaster, gold Adafruit logo",Adafruit 5719,Swag / non-build,1,unit,In hand (invoice),N/A (swag),Free promo item. Not a build part - logged for completeness.,Adafruit/DigiKey,DK/Adafruit 3635011 (18 Feb 2026),Mfr ref,-
40,"microSD card, 32GB (Pi OS)",CanaKit (SanDisk),Compute / Storage,1,card,In hand (photo),Core,Holds the OS. Abrupt power-off risks ext4 corruption -> graceful LVC shutdown and/or read-only rootfs (F14).,CanaKit (SanDisk),CanaKit kit X0001YXAG7L,Thread (doc shot),Committed: QD v1
41,CanaKit 2.5A microUSB power supply,CanaKit,Power / Support,1,unit,In hand (photo),Support (bench only),BENCH ONLY - powers Pi at desk. Rover Pi runs off D24V22F5 buck. Not a rover part.,CanaKit,CanaKit kit X0001YXAG7L,Thread (doc shot),Bench equipment
42,CanaKit black case (Pi 3),CanaKit,Compute / Support,1,case,In hand (photo),Support (not in rover),Pi uses the printed QD chassis instead. Case = bench/spare. (Kit heatsinks DO carry to rover - see F15.),CanaKit,CanaKit kit X0001YXAG7L,Thread (doc shot),Bench equipment
43,Rii mini X1 wireless keyboard/touchpad,Rii,Support,1,unit,In hand (photo),Support (bench tool),Bench input for Pi setup. Not a CanaKit item; not a rover part.,Rii,Owned (bench),Thread (doc shot),Bench equipment
44,37-in-1 Sensor Kit,RobotLinking 37-in-1,Sensing / Proto,1,kit,In hand (photo),"Bench/proto (not rover BOM, except picks)","Breadboard learning kit. MOSTLY REDUNDANT w/ owned gear (Hall->DRV5032; temp/RH->BME688; sound->SPH0645; reed->375; tilt/shock->BNO085). ROVER PICKS: IR reflectance (down=cliff/edge), shock/tilt (impact/tip) -> reflex layer via KB2040 (F16). Buzzer = only audio OUTPUT in inventory. [Library stock for future builds.]",RobotLinking,Batch photo,Thread (doc shot),Free - library
45,HC-SR501 PIR motion sensor,HC-SR501 (BISS0001),Sensing,5,unit,In hand (photo),Core candidate (at-rest only),"Pyroelectric presence of moving warm bodies = strongest 'otherness'/significance input. INVALID WHILE MOVING (self-motion->false triggers): use at-rest only, gate on zero-velocity (F17). Out=3.3V (Pi-safe, no shifter); VCC 5V; 30-60s warmup. Set delay pot min, jumper H. LWIR opaque to shell -> domes must be exposed (F17).",Generic,Batch photo,Thread (doc shot),Committed: QD v1
46,DHT11 / DHT22(AM2302) temp-humidity modules,DHT11 x5 + DHT22/AM2302 x2,Sensing,7,unit,In hand (photo),Bench/proto (redundant),"REDUNDANT w/ BME688 (better accuracy/speed + adds pressure/gas). Single-wire bit-bang = worst-case on a Pi (non-RT scheduler -> CRC fails). If ever used: KB2040 only, never Pi. DHT11 count ~5 (confirm). [Library stock for future builds.]",Generic,Batch photo,Thread (doc shot),Free - library
47,"Dupont jumper wires, assorted (F-F / F-M / M-M)",Generic,Wiring,3,bundle,In hand (photo),Bench/proto consumable,"For breadboard bring-up (validate sensors loose before solder/JST). Not rover BOM. [Library stock for future builds.] [+2 Elegoo kits (F-F/F-M/M-M) = qty 3; now includes M-M. F-M = Pi/breakout pins to breadboard, workhorse for sensor-bus bring-up.]",Generic,Batch photo,Thread (doc shot),Free - library
48,"Solar panel, mini poly ~68x37mm",RY9-38 (rating unmarked),Power,10,unit,In hand (photo); rating TENTATIVE,Library (not v1),"TOY BOX. Form factor confirmed (68x37mm). RATING NOT PRINTED -> measure Voc/Isc in sun (typical ~5-6V/30-60mA for size, verify). Condition: intact, solar ages well. QD: NOT v1 power (3S needs 12.6V + charge mgmt; naive solar->LiPo is unsafe); light-sensor role redundant w/ photoresistors. Good for standalone solar project. Provenance/rating: ask Darrell. [Library stock.]",Toy box (old stock),Batch photo,Front+back,Free - library
49,DIY Solar Power Box (self-built),Self-built; Stack-On case,Power / Equipment,1,unit,In hand (photo),Equipment (not QD),"Self-built portable solar power station. Components: Renogy PWM charge controller; 2x ExpertPower SLA ~12V 9Ah (EXP1290-class, AGM); fused distribution block; watt-meter/power analyzer; 3 panel rockers; sunvisor panels. CONDITION: electronics fine; SLA PAIR is aging risk -> sulfation if stored unmaintained; test rested V (>12.6 healthy) + load before trust; likely REPLACE. Vent before charging SLA in sealed steel box. QD: NOT a part (12V lead-acid vs 3S LiPo; controller is PbA-profiled). Usable as 12V bench/field supply; components harvestable.",Self-built (toy box),3 photos,Bench equipment,
50,"Relay module, 4-channel (opto-isolated)",Songle SRD-05VDC-SL-C x4,Power / Switching,1,board (4 relays),In hand (photo),Library (not QD),"5V coils; 10A 250VAC / 10A 30VDC SPDT; opto-isolated ACTIVE-LOW inputs; JD-VCC jumper isolates coil from logic power. CONDITION: fine (no electrolytics; relays/optos age well). QD: NO - wrong for DC mobile robot (coil ~80mA standing each = drain vs F13; can't PWM; QD switching is PWM->MOSFET or solid-state via TB6612 STBY). GOOD FOR: mains/AC switching, home automation (10A 250VAC + isolation). [Library stock.]",Toy box (old stock),Front only (no back stamp),Thread doc shot,Free - library
51,"Photoresistor, CdS (GL5528 likely)",Gikfun EK1412 (GL55xx),Sensing,20,pcs,In hand (photo),Candidate v1.5+ (light sense),~10-20k light / ~1M dark; analog via ADS1115. ON-THESIS as light-significance input (shadow/dusk/lights-on). NOTE: camera already gives luminance free; CdS slow/drifty; VEML7700/TSL2591 = precise route. Not v1 (F8 creep). CONDITION: fine. CdS=cadmium (RoHS; fine for hobby).,Toy box (old stock),ASIN X0016NAK9H,Thread doc shot,QD candidate (v1.5+)
52,"White LED emitter, round",Yootop (X001TL48LH),Output / Light,100,pcs,In hand (photo),Library (poss. 1-2 cam fill-light),"White, Vf ~3-3.4V (blue die + yellow phosphor). NOT addressable (!= WS2812 debug band). Exact bead wattage/package TENTATIVE (look small/low-power). QD: maybe 1-2 as low-light camera illumination; rest library. CONDITION: fine.",Toy box (old stock),ASIN X001TL48LH,Thread doc shot,Free - library
53,"Reed switch, glass axial (SPST-NO)",Generic glass reed (E383),Sensing,20,pcs (approx),In hand (CONFIRMED),Library / spare (dock-detect v1.5?),"CONFIRMED reed switches (close-up: overlapping blades + contact gap in glass envelope). ~20 pcs. Passive SPST-NO, closes near magnet, ZERO standing power, reads on GPIO+pullup (no ADC/I2C). QD: NOT v1 (core=cam+ToF+IMU). Best potential job = zero-power charging-dock presence detect (v1.5+); for moving-chassis magnetics DRV5032 Hall wins (solid-state, vibration-immune). See Q4. CONDITION: fine but FRAGILE glass - bend leads away from seal; store in clamshell.",Toy box (old stock),ASIN X002IVGXWJ / E383,Confirmed close-up shot,Free - library
54,"High-power COB LED, white ~50W",Generic COB (~40mm),Output / Light,1,pcs,In hand (photo),Library (NOT QD),"~40mm sq, ~100-die array, Vf ~30-34V, ~50W class (30-100W; no wattage stamp = TENTATIVE). Needs CC driver + real heatsink. QD: NO - 30V+ off 3S needs boost; flattens 2200mAh in minutes; cooks sealed body. GOOD FOR: floodlight/work light. CONDITION: fine.",Toy box (old stock),Front only,Thread doc shot,Free - library
55,"Trimmer pot, assorted 100R-100k",3362/3386-style (B taper),Passives / Bench,8,pcs (approx),In hand (photo),Bench/library (not QD),"Blue single-turn trimpots. Codes 101/102/103/104 = 100R/1k/10k/100k; B=linear. QD: NO native use (digital/I2C, nothing to trim). Bench/breadboard analog stock. CONDITION: fine (wipers look unused; contact cleaner if scratchy).",Toy box (old stock),Front only,Thread doc shot,Bench/library
56,ESP32 dev board w/ OLED (WiFi Kit 32),Heltec HTIT-WB32,Compute / Tools,1,pcs,In hand (photo),Bring-up tool (off-board telemetry),"ESP32 dual-core (WiFi+BT); 0.96"" SSD1306 OLED (I2C); CP2102 USB-UART; 8MB flash (W25Q64); onboard 1S LiPo charge + JST. QD: NOT compute (Pi+KB2040 cover brain+reflex; WiFi dup of Pi). Onboard OLED OFF-THESIS (screen reads as 'gadget'; LED band = creature-like affect, no literal readout). BEST USE: OFF-board wireless telemetry dashboard for bring-up (Pi -> WiFi/ESP-NOW -> OLED: live batt V / mode / significance, untethered). Ties Gate B / first power-on. CONDITION: fine.",Toy box (old stock),HTIT-WB32 (back silk),Thread doc shot,Bench/library
57,"ESP32 dev board, bare (WROOM-32)",ESP32 DevKit (generic),Compute / Tools,5,pcs,In hand (photo),Library / opt. bring-up remote,"ESP32-WROOM-32; WiFi+BT+BLE; micro-USB; CP2102 UART; AMS1117 3V3. NO OLED / NO LiPo charger (cf Heltec). QD: NOT compute (Pi+KB2040 settled; WiFi dup of Pi). No screen = not a dashboard. OPTIONAL: ESP-NOW manual-drive/override remote for bring-up (pairs w/ Heltec readout = untethered cockpit). NOT a safety e-stop - reflex stays onboard KB2040. Else general dev/library. CONDITION: fine. [+3 ESP32 DevKit V1 (WROOM-32, back-silk confirmed) added same verdict = qty 5 total.]",Toy box (old stock),ESP32 silk (module),Thread doc shot,Bench/library
58,ESP8266 dev board (NodeMCU + D1 Mini),HiLetgo NodeMCU x4 + Wemos D1 Mini x1,Compute / Tools,5,pcs,In hand (photo),Library / dev spare,"ESP8266MOD (ESP-12E); WiFi-ONLY (no BT/BLE); CP2102 UART; micro-USB; Vin 5V rec / 10V max; single-core, fewer GPIO than ESP32. QD: NOT compute (Pi+KB2040 settled; weaker than ESP32s already ruled out; WiFi dup of Pi). Speaks ESP-NOW so *could* be bring-up node/remote, but ESP32 is better - deeper-bench spare. MCU CATEGORY CLOSED/over-stocked: 3x ESP32 + 4x ESP8266 = 7 WiFi MCUs, none on QD; any further WiFi MCU = same verdict. CONDITION: fine (straighten bent header pins). [+1 Wemos/LOLIN D1 Mini (ESP8266, compact FF w/ LOLIN shield ecosystem) = qty 5. Same verdict.]",Toy box (old stock),HiLetgo silk (back),Thread doc shot,Bench/library
59,Arduino Uno/Nano (ATmega328P),1 genuine Uno (Italy) + IEIK/Elegoo Uno + 3x Elegoo Nano V3 + 1 Elegoo Uno R3,Compute / Tools,7,pcs,In hand (photo),Library / bench / learning,"ATmega328P; 8-bit AVR; 16MHz; 5V logic; 32KB flash / 2KB RAM; 14 DIO / 6 AIN; USB-B. QD: NOT compute (Pi+KB2040 settled). 8-bit/5V = weaker + needs level-shift to 3.3V Pi, AND this is the Arduino/AVR toolchain the project deliberately moved OFF of -> KB2040/CircuitPython was the right call. Good = 5V bench workhorse / learning. Genuine Italy unit = real ATmega16U2 USB + keepsake; IEIK/Elegoo = CH340 clones (equal workhorses). MCU now overstocked across ALL families (AVR + ESP8266 + ESP32); QD uses 2 boards total. CONDITION: fine; electrolytics only age-sensitive part, no bulge/leak. [+3x Elegoo Nano V3.0 (same ATmega328P, small format) = qty 6 total. Small footprint does NOT earn a chassis seat: still 8-bit/5V, needs level-shift to 3.3V Pi, KB2040 owns reflex on better toolchain.] [+1 more Elegoo Uno R3 = qty 7. Same verdict: AVR bucket, not QD.]",Toy box (old stock),Board silk (front),Thread doc shot,Bench/library
60,"Raspberry Pi Pico (RP2040, non-W)",Raspberry Pi Pico (c)2020,Compute / Tools,1,pcs,In hand (photo),QD bench tool - reflex dev twin,"RP2040 (SAME silicon as KB2040); NON-wireless (no Pico-W shield = correct, no radio on a reflex co-pro). Micro-USB, BOOTSEL, 26 GPIO broken out on 0.1in grid, 3x ADC. QD ROLE (real, not library): bench TWIN for reflex-layer dev - same chip + same CircuitPython toolchain as KB2040, but roomy/easy to probe. Develop+debug reflex here -> deploy validated code to KB2040 (flight HW). Does NOT replace KB2040 in chassis (KB2040 won on size/USB-C/STEMMA-QT; Pico too big for pill). CONDITION: fine.",Toy box (old stock),Pico silk (front),Thread doc shot,QD bench tool
61,USB-serial adapter (FTDI FT232RL),FT232RL breakout (HW-417),Compute / Tools,1,pcs,In hand (photo),QD bench tool - Pi serial console,"FT232RL USB-to-UART bridge (NOT an MCU). 6-pin FTDI header DTR/RXD/TXD/VCC/CTS/GND; SELECTABLE 3.3V/5V jumper; mini-USB. QD ROLE (real, not library): serial CONSOLE into Pi for headless bring-up/debug (Pi UART GPIO14 TX / GPIO15 RX) = boot msgs, kernel logs, login prompt, ZERO network dependency. Best low-level debug for a headless robot. ** CRITICAL: jumper to 3.3V (Pi UART is 3.3V, NOT 5V-tolerant; 5V damages GPIO). ** Aside: some FT232RL boards = clone chips; fine on Linux/Pi, may no-show on Windows. CONDITION: fine.",Toy box (old stock),FT232RL + HW-417 silk,Thread doc shot,QD bench tool
62,TP4056 1S Li charger (protected),TP4056+DW01A+8205A (03962A),Power / Switching,10,pcs,In hand (photo),Library (power shelf) - NOT QD power,"1S (single-cell 3.7/4.2V) Li-ion/LiPo charger, PROTECTED (DW01A over-dis/over-cur + 8205A dual MOSFET). Micro-USB in; B+/B- cell, OUT+/OUT- protected load; ~1A default (Rprog-set); 4.2V CC/CV; red/blue LEDs. QD: NOT main power - pack is 3S (11.1V), needs iMAX B6 BALANCE charger (1S charger CAN'T do 3S; wrong class). Nearest hook=1S backup cell for F14 hold-up, BUT TP4056=charger not power-path/UPS, AND read-only rootfs is simpler F14 fix -> hook doesn't land. Joins power-shelf library (solar panels, relay bd). CONDITION: fine (no electrolytics).",Toy box (old stock),03962A silk,Thread doc shot,Free - library
63,Arduino MKR WiFi 1010 + Nano 33 IoT,Genuine Arduino (SAMD21 + u-blox NINA-W102),Compute / Tools,2,pcs (1 each),In hand (photo),Bench/library - capable 3.3V spares,"SAMD21 Cortex-M0+ 32-bit @48MHz, 3.3V native; WiFi+BT (NINA-W102=ESP32 inside); crypto chip. MKR=LiPo JST+charger; Nano 33 IoT=onboard LSM6DS3 6-axis IMU. NOTE: run CircuitPython (same toolchain as KB2040) - NOT the AVR/C++ env that fought the build; do NOT lump w/ Unos. QD: NOT compute (Pi=vision brain, KB2040=reflex & faster dual-core 133MHz; WiFi dups Pi). Mild angle: self-contained 3.3V wireless nodes (opt ESP-NOW remote/sensor node); Nano33 IMU neat but BNO085 better+committed. VALUE: genuine Italian (~$30-40 ea) = good spares, keep separate from clones. CONDITION: fine.",Toy box (old stock),Board silk (back),Thread doc shot,Bench/library (capable)
64,GPS receiver (GT-U7) + patch antenna,GoouuTech GT-U7 + SIM39EA ant,Sensing,1,set,In hand (photo),Library (NOT QD) - GPS poor fit,"NEO-6M-class GNSS rx; NMEA over UART (~9600 default); micro-USB for PC test; 5-pin hdr (VCC/RX/TX/GND/PPS); SIM39EA ceramic patch antenna via u.FL. QD: POOR FIT - (1) needs sky view, won't fix indoors where rover lives; (2) SCALE: GPS ~meters vs QD=180mm robot in a ~few-m room -> can't localize within a room even outdoors. QD localization = camera+ToF+IMU+encoders. Precise-time redundant w/ DS3231 RTC (& needs a fix). Caveat: outdoor QD variant would change this. GOOD FOR: outdoor tracker/datalogger/GPS clock. CONDITION: fine; u.FL delicate.",Toy box (old stock),GT-U7 silk / ASIN X002GN4LMD,Thread doc shot,Free - library
